row_index,token_count,sum_score,mean_score
370,2047,-97.001953125,-0.04738737329018075
371,2047,-41.0400390625,-0.02004887106130923
372,2047,-79.748046875,-0.03895849871763556
373,2047,-77.2861328125,-0.0377558049890083
374,2047,-107.75439453125,-0.05264015365473864
375,2047,-65.8427734375,-0.032165497526868585
376,2047,-78.384765625,-0.038292508854421106
377,2047,-51.6162109375,-0.02521554027234978
378,2047,-75.1875,-0.03673058133854421
379,2047,-42.79296875,-0.020905211895456768
380,2047,-58.3076171875,-0.02848442461529067
381,2047,-93.583984375,-0.045717627931118714
382,2047,-76.5068359375,-0.03737510304714216
383,2047,-75.037109375,-0.03665711254274548
384,2047,-70.74560546875,-0.03456062797691744
385,2047,41.767822265625,0.0204044075552638
386,2047,-90.82568359375,-0.04437014342635564
387,2047,-78.54150390625,-0.03836907860588666
388,2047,-80.63525390625,-0.039391916905837814
389,2047,-89.14208984375,-0.04354767456949194
390,2047,-41.34228515625,-0.020196524258060577
391,2047,-41.8603515625,-0.020449609947484123
392,2047,-59.7255859375,-0.029177130404250122
393,2047,-47.3173828125,-0.02311547768075232
394,2047,-54.025390625,-0.026392472215437224
395,2047,-67.98486328125,-0.0332119507968979
396,2047,-52.3984375,-0.025597673424523692
397,2047,-71.6767578125,-0.0350155143197362
398,2047,-89.701171875,-0.04382079720322423
399,2047,-33.22265625,-0.01622992489008305
400,2047,-76.35595703125,-0.03730139571629214
401,2047,-49.31298828125,-0.02409037043539326
402,2047,44.65380859375,0.0218142689759404
403,2047,-78.07080078125,-0.03813913081643869
404,2047,-85.171875,-0.04160814606741573
405,2047,-60.57373046875,-0.029591465788348804
406,2047,-82.90771484375,-0.040502059034562776
407,2047,-91.26318359375,-0.04458387083231558
408,2047,-63.67919921875,-0.031108548714582317
409,2047,-75.3466796875,-0.036808343765266247
410,2047,-45.62255859375,-0.02228752251770884
411,2047,-20.853759765625,-0.01018747423821446
412,2047,-25.973876953125,-0.0126887527860894
413,2047,-99.852783203125,-0.048780060187164145
414,2047,-72.04345703125,-0.035194654143258425
415,2047,-65.95654296875,-0.032221076193820225
416,2047,-37.53271484375,-0.018335473787860282
417,2047,-60.8759765625,-0.029739118985100146
418,2047,-51.986083984375,-0.025396230573705422
419,2047,-31.913330078125,-0.01559029315003664
420,2047,-81.888671875,-0.040004236382510994
421,2047,-88.244140625,-0.04310900861016121
422,2047,-83.04541015625,-0.04056932591902784
423,2047,-78.1982421875,-0.038201388464826576
424,2047,-71.70263671875,-0.03502815667745481
425,2047,-84.91357421875,-0.0414819610252809
426,2047,-54.7109375,-0.026727375427454812
427,2047,-84.591796875,-0.041324766426477776
428,2047,-86.712890625,-0.04236096268930142
429,2047,-67.3603515625,-0.03290686446629214
430,2047,-63.49609375,-0.03101909807034685
431,2047,-70.74462890625,-0.03456015090681485
432,2047,-55.4853515625,-0.02710569201880801
433,2047,-71.79296875,-0.03507228566194431
434,2047,-43.4931640625,-0.02124727115901319
435,2047,-56.0634765625,-0.027388117519540792
436,2047,-48.80810546875,-0.023843725192354667
437,2047,-70.94921875,-0.03466009709330728
438,2047,-76.78515625,-0.037511068026380066
439,2047,-50.16162109375,-0.024504944354543232
440,2047,-35.2669677734375,-0.01722861151609062
