parent_id	result_id
2512.21709	2512.21709:zeroshot-multilingualbert
2510.19492	2510.19492:rank
2510.19492	2510.19492:entropy
2510.19492	2510.19492:reference
2510.19492	2510.19492:zlib
2510.19492	2510.19492:neighborhood
2510.19492	2510.19492:recall
2510.19492	2510.19492:dc-pdd
2510.19492	2510.19492:detectgpt
2509.26051	2509.26051:fastdetectgpt
2509.26051	2509.26051:binoculars
2509.26051	2509.26051:llm-deviation
2504.11369	2504.11369:rank
2504.11369	2504.11369:entropy
2504.11369	2504.11369:fastdetectgpt
2504.11369	2504.11369:openai-detector
2504.11369	2504.11369:chatgpt-detector
2603.23146	2603.23146:mdok-kinit
2603.23146	2603.23146:optimized-svc
2603.23146	2603.23146:optimized-xgboost
2603.23146	2603.23146:optimized-random-forest
2603.23146	2603.23146:optimized-logistic-regression
2603.23146	2603.23146:baseline-tfidf-svm
2603.23146	2603.23146:ensemble-pan
2603.23146	2603.23146:ensemble-coling
2606.04177	2606.04177:mage-longformer
