#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260814    13:03:19       1  35303      4      0    100     92      0      0      0      0 
 20260814    13:03:20       0  35305      4      0    100     90      0      0      0      0 
 20260814    13:03:20       1  35303      4      0    100     89      0      0      0      0 
 20260814    13:03:21       0  35305      4      0    100     89      0      0      0      0 
 20260814    13:03:21       1  35303      4      0    100     93      0      0      0      0 
 20260814    13:03:22       0  35305      4      0    100     84      0      0      0      0 
 20260814    13:03:22       1  35303      4      0    100     93      0      0      0      0 
 20260814    13:03:23       0  35305      4      0    100     82      0      0      0      0 
 20260814    13:03:23       1  35303      4      0    100     86      0      0      0      0 
 20260814    13:03:24       0  35305      4      0    100     94      0      0      0      0 
 20260814    13:03:24       1  35303      4      0    100     84      0      0      0      0 
 20260814    13:03:25       0  35305      4      0    100     93      0      0      0      0 
 20260814    13:03:25       1  35303      4      0    100     93      0      0      0      0 
 20260814    13:03:26       0  35305      4      0    100     88      0      0      0      0 
 20260814    13:03:26       1  35303      4      0    100     82      0      0      0      0 
 20260814    13:03:27       0  35305      4      0    100     91      0      0      0      0 
 20260814    13:03:27       1  35303      4      0    100     88      0      0      0      0 
 20260814    13:03:28       0  35305      4      0    100     92      0      0      0      0 
 20260814    13:03:28       1  35303      4      0    100     80      0      0      0      0 
 20260814    13:03:29       0  35305      4      0    100     93      0      0      0      0 
 20260814    13:03:29       1  35303      4      0    100     89      0      0      0      0 
 20260814    13:03:30       0  35305      4      0    100     85      0      0      0      0 
 20260814    13:03:30       1  35303      4      0    100     92      0      0      0      0 
 20260814    13:03:31       0  35305      4      0    100     80      0      0      0      0 
 20260814    13:03:31       1  35303      4      0    100     86      0      0      0      0 
 20260814    13:03:32       0  35305      4      0    100     93      0      0      0      0 
 20260814    13:03:32       1  35303      4      0    100     83      0      0      0      0 
 20260814    13:03:33       0  35305      4      0    100     78      0      0      0      0 
 20260814    13:03:33       1  35303      4      0    100     91      0      0      0      0 
 20260814    13:03:34       0  35305      4      0    100     83      0      0      0      0 
 20260814    13:03:34       1  35303      4      0    100     92      0      0      0      0 
 20260814    13:03:35       0  35305      4      0    100     63      0      0      0      0 
 20260814    13:03:35       1  35303      4      0    100     78      0      0      0      0 
 20260814    13:03:36       0  35305      4      0    100     92      0      0      0      0 
 20260814    13:03:36       1  35303      4      0    100     78      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260814    13:03:37       0  35305      4      0    100     61      0      0      0      0 
 20260814    13:03:37       1  35303      4      0    100     74      0      0      0      0 
 20260814    13:03:38       0  35305      4      0    100     93      0      0      0      0 
 20260814    13:03:38       1  35303      4      0    100     87      0      0      0      0 
 20260814    13:03:39       0  35305      4      0    100     60      0      0      0      0 
 20260814    13:03:39       1  35303      4      0    100     59      0      0      0      0 
 20260814    13:03:40       0  35305      4      0    100     81      0      0      0      0 
 20260814    13:03:40       1  35303      4      0    100     88      0      0      0      0 
 20260814    13:03:41       0  35305      4      0    100     61      0      0      0      0 
 20260814    13:03:41       1  35303      4      0    100     58      0      0      0      0 
 20260814    13:03:42       0  35305      4      0    100     85      0      0      0      0 
 20260814    13:03:42       1  35303      4      0    100     92      0      0      0      0 
 20260814    13:03:43       0  35305      4      0    100     60      0      0      0      0 
 20260814    13:03:43       1  35303      4      0    100     58      0      0      0      0 
 20260814    13:03:44       0  35305      4      0    100     79      0      0      0      0 
 20260814    13:03:44       1  35303      4      0    100     84      0      0      0      0 
 20260814    13:03:45       0  35305      4      0    100     64      0      0      0      0 
 20260814    13:03:45       1  35303      4      0    100     59      0      0      0      0 
 20260814    13:03:46       0  35305      4      0    100     89      0      0      0      0 
 20260814    13:03:46       1  35303      4      0    100     90      0      0      0      0 
 20260814    13:03:47       0  35305      4      0    100     79      0      0      0      0 
 20260814    13:03:47       1  35303      4      0    100     59      0      0      0      0 
 20260814    13:03:48       0  35305      4      0    100     89      0      0      0      0 
 20260814    13:03:48       1  35303      4      0    100     81      0      0      0      0 
 20260814    13:03:49       0  35305      4      0    100     95      0      0      0      0 
 20260814    13:03:49       1  35303      4      0    100     58      0      0      0      0 
 20260814    13:03:50       0  35305      4      0    100     92      0      0      0      0 
 20260814    13:03:50       1  35303      4      0    100     83      0      0      0      0 
 20260814    13:03:51       0  35305      4      0    100     87      0      0      0      0 
 20260814    13:03:51       1  35303      4      0    100     58      0      0      0      0 
 20260814    13:03:52       0  35305      4      0    100     78      0      0      0      0 
 20260814    13:03:52       1  35303      4      0    100     76      0      0      0      0 
 20260814    13:03:53       0  35305      4      0    100     94      0      0      0      0 
 20260814    13:03:53       1  35303      4      0    100     84      0      0      0      0 
 20260814    13:03:54       0  35305      4      0    100     90      0      0      0      0 
 20260814    13:03:54       1  35303      4      0    100     89      0      0      0      0 
 20260814    13:03:55       0  35305      4      0    100     81      0      0      0      0 
 20260814    13:03:55       1  35303      4      0    100     93      0      0      0      0 
 20260814    13:03:56       0  35305      4      0    100     81      0      0      0      0 
 20260814    13:03:56       1  35303      4      0    100     84      0      0      0      0 
 20260814    13:03:57       0  35305      4      0    100     78      0      0      0      0 
 20260814    13:03:57       1  35303      4      0    100     83      0      0      0      0 
 20260814    13:03:58       0  35305      4      0    100     61      0      0      0      0 
 20260814    13:03:58       1  35303      4      0    100     66      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260814    13:03:59       0  35305      4      0    100     77      0      0      0      0 
 20260814    13:03:59       1  35303      4      0    100     79      0      0      0      0 
 20260814    13:04:00       0  35305      4      0    100     85      0      0      0      0 
 20260814    13:04:00       1  35303      4      0     60     52      0      0      0      0 
 20260814    13:04:01       0  35305      4      0    100     78      0      0      0      0 
 20260814    13:04:01       1  35303      4      0    100     80      0      0      0      0 
 20260814    13:04:02       0  35305      4      0    100     81      0      0      0      0 
 20260814    13:04:02       1  35303      4      0    100     75      0      0      0      0 
 20260814    13:04:03       0  35305      4      0     49     59      0      0      0      0 
 20260814    13:04:03       1  35303      4      0    100    100      0      0      0      0 
 20260814    13:04:04       0  35305      4      0    100     82      0      0      0      0 
 20260814    13:04:04       1  35303      4      0    100     79      0      0      0      0 
 20260814    13:04:05       0  35305      4      0    100     84      0      0      0      0 
 20260814    13:04:05       1  35303      4      0    100     77      0      0      0      0 
 20260814    13:04:06       0  35305      4      0    100     60      0      0      0      0 
 20260814    13:04:06       1  35303      4      0    100     59      0      0      0      0 
 20260814    13:04:07       0  35305      4      0    100     77      0      0      0      0 
 20260814    13:04:07       1  35303      4      0    100     75      0      0      0      0 
 20260814    13:04:08       0  35305      4      0    100     82      0      0      0      0 
 20260814    13:04:08       1  35303      4      0     73     64      0      0      0      0 
 20260814    13:04:09       0  35305      4      0    100     81      0      0      0      0 
 20260814    13:04:09       1  35303      4      0    100     75      0      0      0      0 
 20260814    13:04:10       0  35305      4      0    100     80      0      0      0      0 
 20260814    13:04:10       1  35303      4      0    100     82      0      0      0      0 
 20260814    13:04:11       0  35305      4      0     12     14      0      0      0      0 
 20260814    13:04:11       1  35303      4      0     66     79      0      0      0      0 
 20260814    13:04:12       0  35305      4      0    100     84      0      0      0      0 
 20260814    13:04:12       1  35303      4      0    100     81      0      0      0      0 
 20260814    13:04:13       0  35305      4      0    100     78      0      0      0      0 
 20260814    13:04:13       1  35303      4      0    100     78      0      0      0      0 
 20260814    13:04:14       0  35305      4      0    100     60      0      0      0      0 
 20260814    13:04:14       1  35303      4      0    100     58      0      0      0      0 
 20260814    13:04:15       0  35305      4      0    100     83      0      0      0      0 
 20260814    13:04:15       1  35303      4      0    100     79      0      0      0      0 
 20260814    13:04:16       0  35305      4      0    100     77      0      0      0      0 
 20260814    13:04:16       1  35303      4      0    100     78      0      0      0      0 
 20260814    13:04:17       0  35305      4      0    100     60      0      0      0      0 
 20260814    13:04:17       1  35303      4      0    100     59      0      0      0      0 
 20260814    13:04:18       0  35305      4      0    100     79      0      0      0      0 
 20260814    13:04:18       1  35303      4      0    100     75      0      0      0      0 
 20260814    13:04:19       0  35305      4      0    100     76      0      0      0      0 
 20260814    13:04:19       1  35303      4      0    100     81      0      0      0      0 
 20260814    13:04:20       0  35305      4      0    100     60      0      0      0      0 
 20260814    13:04:20       1  35303      4      0    100     59      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260814    13:04:21       0  35305      4      0    100     82      0      0      0      0 
 20260814    13:04:21       1  35303      4      0    100     75      0      0      0      0 
 20260814    13:04:22       0  35305      4      0    100     79      0      0      0      0 
 20260814    13:04:22       1  35303      4      0    100     76      0      0      0      0 
 20260814    13:04:23       0  35305      4      0     56     51      0      0      0      0 
 20260814    13:04:23       1  35303      4      0     17     18      0      0      0      0 
 20260814    13:04:24       0  35305      4      0    100     61      0      0      0      0 
 20260814    13:04:24       1  35303      4      0    100     65      0      0      0      0 
 20260814    13:04:25       0  35305      4      0    100     82      0      0      0      0 
